Line,bus0,bus1
244,"(80.8125889, 26.8597524)","(80.8159343, 26.8598788)"
245,"(80.8159343, 26.8598788)","(80.8181512, 26.8617346)"
246,"(80.8181512, 26.8617346)","(80.8209263, 26.863914)"
247,"(80.8209263, 26.863914)","(80.8236021, 26.8661683)"
248,"(80.8236021, 26.8661683)","(80.8265376, 26.8684574)"
249,"(80.8265376, 26.8684574)","(80.8275752, 26.8700692)"
250,"(80.8275752, 26.8700692)","(80.8294428, 26.8732521)"
251,"(80.8294428, 26.8732521)","(80.8305815, 26.8765793)"
252,"(80.8305815, 26.8765793)","(80.8316596, 26.8800961)"
253,"(80.8316596, 26.8800961)","(80.8313407, 26.8822088)"
254,"(80.8313407, 26.8822088)","(80.8331729, 26.8846239)"
255,"(80.8331729, 26.8846239)","(80.8353948, 26.8873956)"
256,"(80.8353948, 26.8873956)","(80.8376369, 26.890262)"
257,"(80.8376369, 26.890262)","(80.8411696, 26.8923294)"
258,"(80.8411696, 26.8923294)","(80.8444898, 26.894302)"
259,"(80.8444898, 26.894302)","(80.8477087, 26.8962339)"
260,"(80.8477087, 26.8962339)","(80.8489032, 26.8995153)"
261,"(80.8489032, 26.8995153)","(80.8499914, 26.9023905)"
262,"(80.8499914, 26.9023905)","(80.8512061, 26.9056446)"
263,"(80.8512061, 26.9056446)","(80.8524663, 26.9090612)"
264,"(80.8524663, 26.9090612)","(80.8537063, 26.9123829)"
265,"(80.8537063, 26.9123829)","(80.8555233, 26.9155691)"
266,"(80.8555233, 26.9155691)","(80.8576136, 26.9180918)"
267,"(80.8576136, 26.9180918)","(80.8598101, 26.9207318)"
268,"(80.8598101, 26.9207318)","(80.8621181, 26.9235839)"
269,"(80.8621181, 26.9235839)","(80.8643567, 26.9262359)"
270,"(80.8643567, 26.9262359)","(80.866493, 26.9287978)"
271,"(80.866493, 26.9287978)","(80.8687215, 26.9314703)"
272,"(80.8687215, 26.9314703)","(80.8710085, 26.9342774)"
273,"(80.8710085, 26.9342774)","(80.8723322, 26.9359064)"
274,"(80.8723322, 26.9359064)","(80.8742675, 26.9375202)"
275,"(80.8742675, 26.9375202)","(80.8762527, 26.9392016)"
276,"(80.8762527, 26.9392016)","(80.878353, 26.9418372)"
277,"(80.878353, 26.9418372)","(80.8804867, 26.9446065)"
278,"(80.8804867, 26.9446065)","(80.8827605, 26.9474865)"
279,"(80.8827605, 26.9474865)","(80.8847133, 26.9499955)"
280,"(80.8847133, 26.9499955)","(80.8860758, 26.9517823)"
281,"(80.5488586, 26.5642911)","(80.5498808, 26.5632075)"
282,"(80.5498808, 26.5632075)","(80.5520643, 26.5628759)"
283,"(80.5520643, 26.5628759)","(80.5542215, 26.5636299)"
284,"(80.5542215, 26.5636299)","(80.5568104, 26.5645467)"
285,"(80.5568104, 26.5645467)","(80.5601094, 26.5657212)"
286,"(80.5601094, 26.5657212)","(80.5632802, 26.5668432)"
287,"(80.5632802, 26.5668432)","(80.5660614, 26.5678363)"
288,"(80.5660614, 26.5678363)","(80.5667447, 26.5689726)"
289,"(80.5667447, 26.5689726)","(80.5661174, 26.5705053)"
290,"(80.5661174, 26.5705053)","(80.5684561, 26.5736392)"
291,"(80.5684561, 26.5736392)","(80.5699433, 26.5749977)"
292,"(80.5699433, 26.5749977)","(80.572036, 26.5769363)"
293,"(80.572036, 26.5769363)","(80.5742964, 26.5779083)"
294,"(80.5742964, 26.5779083)","(80.5748594, 26.5803558)"
295,"(80.5748594, 26.5803558)","(80.5762495, 26.5826052)"
296,"(80.5762495, 26.5826052)","(80.5762495, 26.5841149)"
297,"(80.5762495, 26.5841149)","(80.5786049, 26.5872655)"
298,"(80.5786049, 26.5872655)","(80.5792521, 26.5903266)"
299,"(80.5792521, 26.5903266)","(80.5786916, 26.5925522)"
300,"(80.5786916, 26.5925522)","(80.5763748, 26.5955182)"
301,"(80.5763748, 26.5955182)","(80.575285, 26.5971006)"
302,"(80.575285, 26.5971006)","(80.5747932, 26.5989038)"
303,"(80.5747932, 26.5989038)","(80.574356, 26.6006043)"
304,"(80.574356, 26.6006043)","(80.5765256, 26.6039124)"
305,"(80.5765256, 26.6039124)","(80.5783345, 26.6067172)"
306,"(80.5783345, 26.6067172)","(80.5804167, 26.6098493)"
307,"(80.5804167, 26.6098493)","(80.5836356, 26.6118672)"
308,"(80.5836356, 26.6118672)","(80.5868613, 26.6139096)"
309,"(80.5868613, 26.6139096)","(80.5901745, 26.6159739)"
310,"(80.5901745, 26.6159739)","(80.5934088, 26.6180171)"
311,"(80.5934088, 26.6180171)","(80.5953304, 26.6210208)"
312,"(80.5953304, 26.6210208)","(80.5973367, 26.6241486)"
313,"(80.5973367, 26.6241486)","(80.5992885, 26.6272116)"
314,"(80.5992885, 26.6272116)","(80.6011557, 26.6301178)"
315,"(80.6011557, 26.6301178)","(80.6029263, 26.6328781)"
316,"(80.6029263, 26.6328781)","(80.6046727, 26.6356221)"
317,"(80.6046727, 26.6356221)","(80.6065158, 26.6385389)"
318,"(80.6065158, 26.6385389)","(80.6085582, 26.6428654)"
319,"(80.6085582, 26.6428654)","(80.6104436, 26.6463923)"
320,"(80.6104436, 26.6463923)","(80.6134832, 26.6486608)"
321,"(80.6134832, 26.6486608)","(80.6164804, 26.6509021)"
322,"(80.6164804, 26.6509021)","(80.6195683, 26.6531813)"
323,"(80.6195683, 26.6531813)","(80.6226019, 26.6554496)"
324,"(80.6226019, 26.6554496)","(80.6256898, 26.6577664)"
325,"(80.6256898, 26.6577664)","(80.6287918, 26.6600747)"
326,"(80.6287918, 26.6600747)","(80.6318324, 26.6623836)"
327,"(80.6318324, 26.6623836)","(80.634826, 26.6646124)"
328,"(80.634826, 26.6646124)","(80.637794, 26.6668296)"
329,"(80.637794, 26.6668296)","(80.6404803, 26.6688707)"
330,"(80.6404803, 26.6688707)","(80.6435346, 26.6712032)"
331,"(80.6435346, 26.6712032)","(80.6465103, 26.6734073)"
332,"(80.6465103, 26.6734073)","(80.6489974, 26.6733982)"
333,"(80.6489974, 26.6733982)","(80.6510359, 26.673368)"
334,"(80.6510359, 26.673368)","(80.6531642, 26.6759855)"
335,"(80.6531642, 26.6759855)","(80.6555399, 26.678907)"
336,"(80.6555399, 26.678907)","(80.6579487, 26.6818166)"
337,"(80.6579487, 26.6818166)","(80.6603047, 26.6847315)"
338,"(80.6603047, 26.6847315)","(80.6627122, 26.6876286)"
339,"(80.6627122, 26.6876286)","(80.6650439, 26.6905589)"
340,"(80.6650439, 26.6905589)","(80.667367, 26.6934205)"
341,"(80.667367, 26.6934205)","(80.6696304, 26.6961828)"
342,"(80.6696304, 26.6961828)","(80.6718681, 26.6989717)"
343,"(80.6718681, 26.6989717)","(80.6739521, 26.7014973)"
344,"(80.6739521, 26.7014973)","(80.6759251, 26.7039199)"
345,"(80.6759251, 26.7039199)","(80.6779664, 26.7064759)"
346,"(80.6779664, 26.7064759)","(80.68017, 26.7091539)"
347,"(80.68017, 26.7091539)","(80.6813486, 26.711809)"
